Date/Time,Base,Lat,Lon,Hour,Day,cluster_kmeans,Lat_original,Lon_original,hora,periodo,faixa_dia,faixa_lat,faixa_lon,distancia_media_5vizinhos,anomalia_distancia
2014-05-01 06:27:00,B02512,0.3914956011730197,0.2804183317745057,0.2608695652173913,1,3,40.7356,-73.9925,6,manha,01-05,centro_sul,centro_oeste,0.1334920227304947,False
2014-05-01 06:29:00,B02512,0.4016373411534673,0.2808009522999732,0.2608695652173913,1,3,40.7439,-73.9916,6,manha,01-05,centro_sul,centro_oeste,0.20585433809429649,False
2014-05-01 06:31:00,B02512,0.4266862170088004,0.2918544341467566,0.2608695652173913,1,3,40.7644,-73.9656,6,manha,01-05,norte,leste,0.19194674782464213,False
2014-05-01 06:35:00,B02512,0.3954056695992136,0.2734461355326942,0.2608695652173913,1,3,40.7388,-74.0089,6,manha,01-05,centro_sul,oeste,0.18518731732176072,False
2014-05-01 06:40:00,B02512,0.377199413489734,0.2615848992432603,0.2608695652173913,1,3,40.7239,-74.0368,6,manha,01-05,sul,oeste,0.3548192582455524,False
2014-05-01 06:42:00,B02512,0.4294965786901272,0.2895587109939619,0.2608695652173913,1,3,40.7667,-73.971,6,manha,01-05,norte,centro_leste,0.166758510016174,False
2014-05-01 06:43:00,B02512,0.3925953079178867,0.2785052291471821,0.2608695652173913,1,3,40.7365,-73.997,6,manha,01-05,centro_sul,centro_oeste,0.14700751444077426,False
2014-05-01 06:44:00,B02512,0.4478250244379254,0.2989116571720096,0.2608695652173913,1,3,40.7817,-73.949,6,manha,01-05,norte,leste,0.1652712210813329,False
2014-05-01 06:44:00,B02512,0.4488025415444738,0.2846271575546275,0.2608695652173913,1,3,40.7825,-73.9826,6,manha,01-05,norte,centro_leste,0.19399783593845102,False
2014-05-01 06:44:00,B02512,0.4006598240469188,0.2615423858515413,0.2608695652173913,1,3,40.7431,-74.0369,6,manha,01-05,centro_sul,oeste,0.26361185390651143,False
2014-05-01 06:46:00,B02512,0.3735337243401773,0.243771788113257,0.2608695652173913,1,3,40.7209,-74.0787,6,manha,01-05,sul,oeste,0.716828457996723,True
2014-05-01 06:46:00,B02512,0.4701857282502359,0.2904940056117659,0.2608695652173913,1,3,40.8,-73.9688,6,manha,01-05,norte,leste,0.2627113721978581,False
2014-05-01 06:49:00,B02512,0.5375122189638333,0.3065215542895991,0.2608695652173913,1,3,40.8551,-73.9311,6,manha,01-05,norte,leste,0.956835110046014,True
2014-05-01 06:51:00,B02512,0.4238758553274593,0.2862426664399251,0.2608695652173913,1,3,40.7621,-73.9788,6,manha,01-05,centro_norte,centro_leste,0.1566458910370029,False
2014-05-01 06:53:00,B02512,0.4029814271749714,0.276209505994391,0.2608695652173913,1,3,40.745,-74.0024,6,manha,01-05,centro_sul,oeste,0.22134036072489094,False
2014-05-01 06:55:00,B02512,0.4195992179863168,0.2818212737012153,0.2608695652173913,1,3,40.7586,-73.9892,6,manha,01-05,centro_norte,centro_oeste,0.19367134311183473,False
2014-05-01 06:55:00,B02512,0.4382942326490635,0.2985715500382646,0.2608695652173913,1,3,40.7739,-73.9498,6,manha,01-05,norte,leste,0.13396042536194713,False
2014-05-01 06:55:00,B02512,0.4508797653958893,0.2991667375223166,0.2608695652173913,1,3,40.7842,-73.9484,6,manha,01-05,norte,leste,0.16982751423784714,False
2014-05-01 06:57:00,B02512,0.3928396871945239,0.283309242411363,0.2608695652173913,1,3,40.7367,-73.9857,6,manha,01-05,centro_sul,centro_oeste,0.160730450985424,False
2014-05-01 06:59:00,B02512,0.3593597262952102,0.2748915908511193,0.2608695652173913,1,3,40.7093,-74.0055,6,manha,01-05,sul,oeste,0.22274497224326456,False
2014-05-01 07:00:00,B02512,0.4495356793743852,0.2838194031119805,0.3043478260869565,1,3,40.7831,-73.9845,7,manha,01-05,norte,centro_oeste,0.18753542504733092,False
2014-05-01 07:01:00,B02512,0.3561827956989205,0.270342657937249,0.3043478260869565,1,3,40.7067,-74.0162,7,manha,01-05,sul,oeste,0.28330384145744014,False
2014-05-01 07:01:00,B02512,0.4798387096774164,0.2961057733185939,0.3043478260869565,1,3,40.8079,-73.9556,7,manha,01-05,norte,leste,0.4296936536507081,False
2014-05-01 07:03:00,B02512,0.3212365591397841,0.2781226086217145,0.3043478260869565,1,3,40.6781,-73.9979,7,manha,01-05,sul,centro_oeste,0.3334840061751571,False
2014-05-01 07:03:00,B02512,0.3114613880742851,0.2844145905960396,0.3043478260869565,1,3,40.6701,-73.9831,7,manha,01-05,sul,centro_leste,0.35556126810840094,False
2014-05-01 07:03:00,B02512,0.4349951124144695,0.298486523254823,0.3043478260869565,1,3,40.7712,-73.95,7,manha,01-05,norte,leste,0.12667084450953858,False
2014-05-01 07:03:00,B02512,0.3372434017595296,0.2814811665674703,0.3043478260869565,1,3,40.6912,-73.99,7,manha,01-05,sul,centro_oeste,0.2526966070936262,False
2014-05-01 07:04:00,B02512,0.3687683284457463,0.2632004081285579,0.3043478260869565,1,3,40.717,-74.033,7,manha,01-05,sul,oeste,0.3339073004355509,False
2014-05-01 07:05:00,B02512,0.3938172043010723,0.2739562962333117,0.3043478260869565,1,3,40.7375,-74.0077,7,manha,01-05,centro_sul,oeste,0.1285829662206232,False
